name,district,comarea,price,EducationDescribe,RJL,LHL,lng,lat
阳光龙庭,天宁,青龙,20088,一类优质学区,2.2,30%,119.9890716,31.80372051
龙湖香醍漫步,天宁,青龙,20020,一类优质学区,2,35%,119.9967346,31.80762335
中海凤凰熙岸,天宁,茶山,15287,二类优质学区,3,30%,119.9865167,31.74937443
彩虹城,天宁,红梅,17122,一类优质学区,2.22,30%,119.9839116,31.80096428
景秀世家,天宁,红梅,15465,一类优质学区,2.17,30%,119.9871293,31.80223703
桃园公寓,天宁,天宁街道,26780,普通学区,1.2,30%,119.9650922,31.77183999
桃园新村,天宁,天宁街道,31028,普通学区,0.8,40%,119.9641818,31.77152186
景瑞望府,天宁,青龙,21642,一类优质学区,2.4,40%,119.990019,31.80144856
水晶城,天宁,青龙,15167,二类优质学区,2,30%,120.0015368,31.77192627
水岸花语,天宁,茶山,15783,二类优质学区,3,31.80%,119.9876491,31.75429819
新城香溢紫郡,天宁,青龙,16388,二类优质学区,2.5,35%,120.0085661,31.77219328
弘阳上城,天宁,兰陵,16177,普通学区,3.2,35%,119.9202741,31.75637899
永宁雅苑,天宁,红梅,18809,一类优质学区,2.5,45%,119.9873817,31.80150389
丽景花园,天宁,天宁街道,22085,一类优质学区,2,30%,119.961168,31.78718666
新天地花苑,天宁,天宁街道,23663,一类优质学区,2,25%,119.9571489,31.79061363
银河湾明苑,天宁,茶山,17781,二类优质学区,2.7,60%,119.9626282,31.76615048
怡康花园,天宁,天宁街道,22811,一类优质学区,2.1,30%,119.9602991,31.79219211
翠竹新村,天宁,红梅,11559,一类优质学区,0.9,30%,119.9760195,31.7966596
银河湾星苑,天宁,红梅,20341,普通学区,2.75,60%,119.9695895,31.79650483
青山湾,天宁,天宁街道,25506,一类优质学区,2.5,30%,119.9559369,31.79431026
通济新村,天宁,天宁街道,26419,一类优质学区,2.87,35%,119.954032,31.79488339
斜桥巷小区,天宁,天宁街道,29262,一类优质学区,1.3,25%,119.9597953,31.78063872
北环新村,天宁,红梅,11393,一类优质学区,2.2,30%,119.9748106,31.79024605
翠园世家,天宁,红梅,18067,一类优质学区,2.2,35%,119.9740565,31.79530906
采菱公寓,天宁,茶山,12085,普通学区,2,37%,119.9895736,31.7407517
嘉宏盛世普宅,天宁,兰陵,27478,普通学区,2.4,30%,119.9516071,31.77153727
凯旋城,天宁,红梅,15890,普通学区,2,30%,119.9874941,31.78839285
蔷薇家园,天宁,兰陵,13819,普通学区,2.3,30%,119.9755696,31.75226202
博爱公寓,天宁,天宁街道,22012,一类优质学区,1.8,32%,119.9604949,31.78705384
北环南村,天宁,红梅,11232,一类优质学区,1.4,40%,119.9798464,31.78982506
鹤苑新都,天宁,天宁街道,32020,一类优质学区,2,32%,119.9591128,31.78354615
和平国际,天宁,茶山,15791,普通学区,2.8,30%,119.9568003,31.7538397
弘阳广场,天宁,兰陵,15565,二类优质学区,3.2,41.70%,119.923352,31.75529135
金鼎公寓,天宁,天宁街道,39616,一类优质学区,2,20%,119.9540965,31.78170127
局前街三家村,天宁,天宁街道,30681,一类优质学区,1,30%,119.9613242,31.78269361
丽华二村,天宁,茶山,10281,普通学区,1.2,30%,119.9701621,31.75008883
清凉新村,天宁,茶山,10910,二类优质学区,2.14,20%,119.9560247,31.76123276
新城逸境,天宁,茶山,16030,普通学区,2.14,30%,119.9629688,31.75740706
县北新村,天宁,天宁街道,22694,一类优质学区,1,30%,119.9633238,31.78915891
元丰宜家,天宁,红梅,36811,普通学区,2.49,30%,119.9613738,31.77344521
朝阳花园,天宁,茶山,11153,普通学区,1.2,25%,120.005381,31.73681613
常发香堤半岛,天宁,茶山,13867,普通学区,1.8,31%,119.9751067,31.73866617
锦绣东苑,天宁,红梅,12641,普通学区,2.3,35%,119.9673532,31.79912893
龙湖郦城,天宁,青龙,20433,一类优质学区,2.2,35%,119.9922359,31.80834813
菱溪名居,天宁,茶山,12791,普通学区,0,0%,119.9881288,31.75346332
泰和之春,天宁,茶山,14602,二类优质学区,2.39,30%,119.9904408,31.74751448
天顺御河湾,天宁,青龙,15611,二类优质学区,2,30%,120.0083232,31.76640127
翠竹北区,天宁,红梅,11942,一类优质学区,1.8,35%,119.9760341,31.79728105
椿桂坊小区,天宁,天宁街道,32549,普通学区,0.8,25%,119.9602414,31.77415173
国泰新都,天宁,天宁街道,30101,普通学区,2.9,25%,119.9585205,31.77092678
光华世家,天宁,兰陵,16446,普通学区,2.17,30%,119.9668185,31.75994228
聚和家园,天宁,天宁街道,25373,一类优质学区,1.4,20%,119.9576326,31.78857865
景泰家园,天宁,兰陵,15216,普通学区,2.2,30%,119.9623189,31.75808865
锦绣花园,天宁,红梅,11342,普通学区,2.38,30%,119.9619716,31.80217525
九洲新世界花苑,天宁,兰陵,19824,普通学区,0,0%,119.9448443,31.76540665
丽华一村,天宁,茶山,10558,普通学区,1.6,25%,119.9702097,31.75225348
丽华三村,天宁,茶山,10318,普通学区,2.4,30%,119.9673437,31.74611685
龙洲伊都,天宁,青龙,23080,普通学区,2.5,30%,120.006388,31.79603046
麻巷公寓,天宁,天宁街道,31224,一类优质学区,0,16%,119.9600424,31.77453354
世纪华城,天宁,兰陵,13649,普通学区,2.8,30%,119.9188918,31.75765102
新丰街西楼,天宁,天宁街道,30516,一类优质学区,2.3,35%,119.964535,31.78623209
新天地商业广场住宅,天宁,天宁街道,26849,一类优质学区,0,0%,119.9563831,31.79165648
新乐花园,天宁,茶山,15349,普通学区,2.5,31%,119.9605523,31.7487859
永宁花园,天宁,红梅,14117,一类优质学区,1.68,21.50%,119.9720985,31.79600066
元丰苑,天宁,红梅,25758,普通学区,2.2,20%,119.9622231,31.77280735
元丰桥小区,天宁,天宁街道,32835,普通学区,1.3,25%,119.9620085,31.77466795
东城明居,天宁,兰陵,14157,普通学区,2.5,30%,119.9806325,31.76026448
朗诗??园,天宁,茶山,19182,普通学区,3.88,32%,119.9781214,31.76543134
润德半岛二期,天宁,红梅,13568,普通学区,1.3,30%,119.9660448,31.79934199
